Designation,G kg/m,h mm,b mm,s mm,t mm,A cm2,r1 mm,r2 mm,h1 mm
HE 140 C,48.2,150,143,10,17,61.5,12,,
HE 140 M,63.2,160,146,13,22,80.6,12,,
HE 160 AA,23.8,148,160,4.5,7,30.4,15,,
HE 160 A,30.4,152,160,6,9,38.8,15,,
HE 160 B,42.6,160,160,8,13,54.3,15,,
HE 160 C,59.2,170,163,11,18,75.4,15,,
HE 160 M,76.2,180,166,14,23,97.1,15,,
HE 180 AA,28.7,167,180,5,7.5,36.5,15,,
HE 180 A,35.5,171,180,6,9.5,45.3,15,,
HE 180 B,51.2,180,180,8.5,14,65.3,15,,
HE 180 C,69.8,190,183,11.5,19,89,15,,
HE 180 M,88.9,200,186,14.5,24,113.3,15,,
HE 200 AA,34.6,186,200,5.5,8,44.1,18,,
HE 200 A,42.3,190,200,6.5,10,53.8,18,,
HE 200 B,61.3,200,200,9,15,78.1,18,,
HE 200 C,81.9,210,203,12,20,104.4,18,,
HE 200 M,103,220,206,15,25,131.3,18,,
HE 220 AA,40.4,205,220,6,8.5,51.5,18,,
HE 220 A,50.5,210,220,7,11,64.3,18,,
HE 220 B,71.5,220,220,9.5,16,91,18,,
HE 220 C,94.1,230,223,12.5,21,119.9,18,,
HE 220 M,117,240,226,15.5,26,149.4,18,,
HE 240 AA,47.4,224,240,6.5,9,60.4,21,,
HE 240 A,60.3,230,240,7.5,12,76.8,21,,
HE 240 B,83.2,240,240,10,17,106,21,,
HE 240 C,119,255,244,14,24.5,152.2,21,,
HE 240 M,157,270,248,18,32,199.6,21,,
HE 260 AA,54.1,244,260,6.5,9.5,69,24,,
HE 260 A,68.2,250,260,7.5,12.5,86.8,24,,
HE 260 B,93,260,260,10,17.5,118.4,24,,
HE 260 C,132,275,264,14,25,168.4,24,,
HE 260 M,172,290,268,18,32.5,219.6,24,,
HE 280 AA,61.2,264,280,7,10,78,24,,
HE 280 A,76.4,270,280,8,13,97.3,24,,
HE 280 B,103,280,280,10.5,18,131.4,24,,
HE 280 C,145,295,284,14.5,25.5,185.2,24,,
HE 280 M,189,310,288,18.5,33,240.2,24,,
HE 300 AA,69.8,283,300,7.5,10.5,88.9,27,,
HE 300 A,88.3,290,300,8.5,14,112.5,27,,
HE 300 B,117,300,300,11,19,149.1,27,,
HE 300 C,177,320,305,16,29,225.1,27,,
HE 300 M,238,340,310,21,39,303.1,27,,
HE 320 AA,74.2,301,300,8,11,94.6,27,,
HE 320 A,97.6,310,300,9,15.5,124.4,27,,
HE 320 B,127,320,300,11.5,20.5,161.3,27,,
HE 320 C,186,340,305,16,30.5,236.9,27,,
HE 320 M,245,359,309,21,40,312,27,,
HE 340 AA,78.9,320,300,8.5,11.5,100.5,27,,
HE 340 A,105,330,300,9.5,16.5,133.5,27,,
HE 340 B,134,340,300,12,21.5,170.9,27,,
HE 340 M,248,377,309,21,40,315.8,27,,
HE 360 AA,83.7,339,300,9,12,106.6,27,,
HE 360 A,112,350,300,10,17.5,142.8,27,,
HE 360 B,142,360,300,12.5,22.5,180.6,27,,
HE 360 M,250,395,308,21,40,318.8,27,,
HE 400 AA,92.4,378,300,9.5,13,117.7,27,,
HE 400 A,125,390,300,11,19,159,27,,
HE 400 B,155,400,300,13.5,24,197.8,27,,
HE 400 M,256,432,307,21,40,325.8,27,,
HE 450 AA,99.7,425,300,10,13.5,127.1,27,,
HE 450 A,140,440,300,11.5,21,178,27,,
HE 450 B,171,450,300,14,26,218,27,,
HE 450 M,263,478,307,21,40,335.4,27,,
HE 500 AA,107,472,300,10.5,14,136.9,27,,
HE 500 A,155,490,300,12,23,197.5,27,,
HE 500 B,187,500,300,14.5,28,238.6,27,,
HE 500 M,270,524,306,21,40,344.3,27,,
HE 550 AA,120,522,300,11.5,15,152.8,27,,
HE 550 A,166,540,300,12.5,24,211.8,27,,
HE 550 B,199,550,300,15,29,254.1,27,,
HE 550 M,278,572,306,21,40,354.4,27,,
HE 600 AA,129,571,300,12,15.5,164.1,27,,
HE 600 A,178,590,300,13,25,226.5,27,,
HE 600 B,212,600,300,15.5,30,270,27,,
HE 600 M,285,620,305,21,40,363.7,27,,
HE 600 × 337,337,632,310,25.5,46,429.2,27,,
HE 600 × 399,399,648,315,30,54,508.5,27,,
HE 650 AA,138,620,300,12.5,16,175.8,27,,
HE 650 A,190,640,300,13.5,26,241.6,27,,
HE 650 B,225,650,300,16,31,286.3,27,,
HE 650 M,293,668,305,21,40,373.7,27,,
